#  step      rmse_trn    rmse_e_trn    rmse_f_trn         lr
 804000      9.52e-02      3.36e-03      4.96e-03    3.6e-04
 806000      2.60e-01      5.58e-02      3.05e-03    3.6e-04
 808000      5.77e-01      8.07e-03      3.03e-02    3.6e-04
 810000      1.62e-01      2.42e-02      2.39e-03    3.6e-04
 812000      7.75e-01      5.15e-03      4.09e-02    3.6e-04
 814000      1.60e-01      1.61e-02      7.49e-03    3.6e-04
 816000      1.25e-01      1.24e-03      6.58e-03    3.6e-04
 818000      1.36e-01      2.65e-02      3.33e-03    3.6e-04
 820000      1.16e-01      1.15e-02      5.47e-03    3.6e-04
 822000      9.03e-02      1.32e-02      3.56e-03    3.6e-04
 824000      1.13e-01      1.57e-02      2.69e-03    3.6e-04
 826000      1.50e-01      8.32e-03      7.66e-03    3.6e-04
 828000      1.13e-01      1.29e-02      5.12e-03    3.6e-04
 830000      2.10e-01      2.41e-02      9.45e-03    3.6e-04
 832000      1.02e-01      2.69e-03      5.30e-03    3.6e-04
 834000      3.70e-01      1.09e-02      1.94e-02    3.6e-04
 836000      1.36e-01      1.87e-02      3.39e-03    3.6e-04
 838000      2.77e-01      5.64e-02      5.59e-03    3.6e-04
 840000      5.11e-01      1.03e-02      2.76e-02    3.4e-04
 842000      6.15e-01      2.17e-02      3.29e-02    3.4e-04
 844000      6.36e-01      1.32e-02      3.43e-02    3.4e-04
 846000      1.34e-01      1.99e-02      1.87e-03    3.4e-04
 848000      6.06e-01      3.47e-03      3.28e-02    3.4e-04
 850000      4.83e-01      7.44e-03      2.60e-02    3.4e-04
 852000      2.38e-01      1.05e-02      1.24e-02    3.4e-04
 854000      6.50e-01      1.21e-02      3.51e-02    3.4e-04
 856000      9.66e-02      1.49e-02      3.69e-03    3.4e-04
